"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00053908","1998-01-01","36.04243","-95.99016","189.1","TULSA RICHARD L JONES JR AIRPORT, OK US",,,,,,,"  139",",,M","  -11",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00053908","1998-01-02","36.04243","-95.99016","189.1","TULSA RICHARD L JONES JR AIRPORT, OK US",,,,,,,"  183",",,M","  133",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00053908","1998-01-03","36.04243","-95.99016","189.1","TULSA RICHARD L JONES JR AIRPORT, OK US",,,,,,,"  217",",,M","  156",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00053908","1998-01-04","36.04243","-95.99016","189.1","TULSA RICHARD L JONES JR AIRPORT, OK US",,,,,,,"  156",",,M","   28",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00053908","1998-01-05","36.04243","-95.99016","189.1","TULSA RICHARD L JONES JR AIRPORT, OK US",,,,,,,"  100",",,M","   39",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00053908","1998-01-06","36.04243","-95.99016","189.1","TULSA RICHARD L JONES JR AIRPORT, OK US",,,,,,,"  106",",,M","   22",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00053908","1998-01-07","36.04243","-95.99016","189.1","TULSA RICHARD L JONES JR AIRPORT, OK US",,,,,,,"   28",",,M","   11",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00053908","1998-01-08","36.04243","-95.99016","189.1","TULSA RICHARD L JONES JR AIRPORT, OK US",,,,,,,"   28",",,M","    0",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00053908","1998-01-09","36.04243","-95.99016","189.1","TULSA RICHARD L JONES JR AIRPORT, OK US",,,,,,,"   22",",,M","   -6",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00053908","1998-01-10","36.04243","-95.99016","189.1","TULSA RICHARD L JONES JR AIRPORT, OK US",,,,,,,"    0",",,M","  -39",",,M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
